Year,MSA,State Code,County Code,Tract,MSA Med Family Income,Tract Med Family Income,Income %,Income Level Ind
2022,33860,1,1,20100,68115,70699,103.79,3
2022,33860,1,1,20200,68115,50133,73.6,2
2022,33860,1,1,20300,68115,70111,102.93,3
2022,33860,1,1,20400,68115,75580,110.95,3
2022,33860,1,1,20501,68115,90879,133.41,4
2022,33860,1,1,20502,68115,78375,115.06,3
2022,33860,1,1,20503,68115,105016,154.17,4
2022,33860,1,1,20600,68115,69000,101.29,3
2022,33860,1,1,20700,68115,45625,66.98,2
2022,33860,1,1,20801,68115,88804,130.37,4
2022,33860,1,1,20803,68115,66250,97.26,3
2022,33860,1,1,20804,68115,81934,120.28,4
2022,33860,1,1,20805,68115,102734,150.82,4
2022,33860,1,1,20901,68115,57667,84.66,3
2022,33860,1,1,20902,68115,79825,117.19,3
2022,33860,1,1,21000,68115,57614,84.58,3
2022,33860,1,1,21100,68115,43036,63.18,2
2022,19300,1,3,10100,79907,52083,65.17,2
2022,19300,1,3,10200,79907,50326,62.98,2
2022,19300,1,3,10300,79907,84769,106.08,3
2022,19300,1,3,10400,79907,49583,62.05,2
2022,19300,1,3,10500,79907,83362,104.32,3
2022,19300,1,3,10600,79907,53199,66.57,2
2022,19300,1,3,10704,79907,86456,108.19,3
2022,19300,1,3,10706,79907,126806,158.69,4
2022,19300,1,3,10707,79907,115714,144.81,4
2022,19300,1,3,10708,79907,102467,128.23,4
2022,19300,1,3,10709,79907,104326,130.55,4
2022,19300,1,3,10710,79907,85125,106.53,3
2022,19300,1,3,10711,79907,74643,93.41,3
2022,19300,1,3,10800,79907,79826,99.89,3
2022,19300,1,3,10903,79907,64621,80.87,3
2022,19300,1,3,10904,79907,81146,101.55,3
2022,19300,1,3,10906,79907,49176,61.54,2
2022,19300,1,3,10907,79907,63958,80.04,3
2022,19300,1,3,10908,79907,68571,85.81,3
2022,19300,1,3,11000,79907,53769,67.28,2
2022,19300,1,3,11102,79907,74801,93.61,3
2022,19300,1,3,11103,79907,94463,118.21,3
2022,19300,1,3,11104,79907,106273,132.99,4
2022,19300,1,3,11201,79907,76509,95.74,3
2022,19300,1,3,11202,79907,106821,133.68,4
2022,19300,1,3,11300,79907,81613,102.13,3
2022,19300,1,3,11409,79907,91853,114.94,3
2022,19300,1,3,11410,79907,72321,90.5,3
2022,19300,1,3,11411,79907,64861,81.17,3
2022,19300,1,3,11412,79907,53438,66.87,2
2022,19300,1,3,11413,79907,84664,105.95,3
2022,19300,1,3,11414,79907,109281,136.76,4
2022,19300,1,3,11415,79907,140139,175.37,4
2022,19300,1,3,11416,79907,0,0,0
2022,19300,1,3,11417,79907,140982,176.43,4
2022,19300,1,3,11418,79907,80536,100.78,3
2022,19300,1,3,11419,79907,87762,109.83,3
2022,19300,1,3,11501,79907,64784,81.07,3
2022,19300,1,3,11503,79907,57136,71.5,2
2022,19300,1,3,11504,79907,78850,98.67,3
2022,19300,1,3,11601,79907,68495,85.71,3
2022,19300,1,3,11603,79907,56216,70.35,2
2022,19300,1,3,11604,79907,71168,89.06,3
2022,19300,1,3,990000,79907,0,0,0
2022,99999,1,5,950100,55960,71719,128.16,4
2022,99999,1,5,950200,55960,53750,96.05,3
2022,99999,1,5,950300,55960,45461,81.23,3
2022,99999,1,5,950400,55960,34602,61.83,2
2022,99999,1,5,950500,55960,66106,118.13,3
2022,99999,1,5,950600,55960,26944,48.14,1
2022,99999,1,5,950700,55960,54766,97.86,3
2022,99999,1,5,950800,55960,39306,70.23,2
2022,99999,1,5,950900,55960,38375,68.57,2
2022,99999,1,5,999999,55960,45836,81.9,3
2022,13820,1,7,10001,75287,59000,78.36,2
2022,13820,1,7,10005,75287,65272,86.69,3
2022,13820,1,7,10006,75287,66625,88.49,3
2022,13820,1,7,10007,75287,53928,71.62,2
2022,13820,1,7,10008,75287,80000,106.26,3
2022,13820,1,7,10009,75287,0,0,0
2022,13820,1,7,10010,75287,62731,83.32,3
2022,13820,1,7,10011,75287,47634,63.26,2
2022,13820,1,7,999999,75287,62212,82.63,3
2022,13820,1,9,50103,75287,57500,76.37,2
2022,13820,1,9,50104,75287,64291,85.39,3
2022,13820,1,9,50105,75287,73393,97.48,3
2022,13820,1,9,50106,75287,49872,66.24,2
2022,13820,1,9,50107,75287,48293,64.14,2
2022,13820,1,9,50200,75287,43455,57.71,2
2022,13820,1,9,50301,75287,50842,67.53,2
2022,13820,1,9,50302,75287,59375,78.86,2
2022,13820,1,9,50400,75287,66623,88.49,3
2022,13820,1,9,50501,75287,54524,72.42,2
2022,13820,1,9,50502,75287,88408,117.42,3
2022,13820,1,9,50601,75287,74891,99.47,3
2022,13820,1,9,50603,75287,69311,92.06,3
2022,13820,1,9,50604,75287,90705,120.47,4
2022,13820,1,9,50701,75287,60221,79.98,2
2022,13820,1,9,50702,75287,64792,86.06,3
2022,99999,1,11,952100,55960,45655,81.58,3
2022,99999,1,11,952201,55960,57665,103.04,3
2022,99999,1,11,952202,55960,26685,47.68,1
2022,99999,1,11,952500,55960,66797,119.36,3
2022,99999,1,11,999999,55960,53976,96.45,3
2022,99999,1,13,952700,55960,54010,96.51,3
2022,99999,1,13,952800,55960,79000,141.17,4
2022,99999,1,13,952900,55960,64688,115.59,3
2022,99999,1,13,953000,55960,51344,91.75,3
2022,99999,1,13,953100,55960,40132,71.71,2
2022,99999,1,13,953200,55960,63880,114.15,3
2022,99999,1,13,953300,55960,63403,113.3,3
2022,99999,1,13,953400,55960,67585,120.77,4
2022,99999,1,13,953500,55960,55938,99.96,3
2022,99999,1,13,999999,55960,57011,101.87,3
2022,11500,1,15,200,59609,34034,57.09,2
2022,11500,1,15,300,59609,27477,46.09,1
2022,11500,1,15,400,59609,34518,57.9,2
2022,11500,1,15,500,59609,0,0,0
2022,11500,1,15,600,59609,34643,58.11,2
2022,11500,1,15,700,59609,58801,98.64,3
2022,11500,1,15,800,59609,50658,84.98,3
2022,11500,1,15,900,59609,84911,142.44,4
2022,11500,1,15,1000,59609,77183,129.48,4
2022,11500,1,15,1101,59609,79412,133.22,4
2022,11500,1,15,1102,59609,29900,50.16,2
2022,11500,1,15,1103,59609,81858,137.32,4
2022,11500,1,15,1201,59609,48958,82.13,3
2022,11500,1,15,1202,59609,59464,99.75,3
2022,11500,1,15,1300,59609,39412,66.11,2
2022,11500,1,15,1400,59609,55625,93.31,3
2022,11500,1,15,1501,59609,62481,104.81,3
2022,11500,1,15,1502,59609,38444,64.49,2
2022,11500,1,15,1600,59609,55221,92.63,3
2022,11500,1,15,1700,59609,59569,99.93,3
2022,11500,1,15,1801,59609,56846,95.36,3
2022,11500,1,15,1802,59609,60357,101.25,3
